flight_id,date,origin,dest,distance_nm,aircraft_type,takeoff_weight_klbs,headwind_kt,month,day_of_week,actual_trip_fuel_kg
FL014751,2023-01-01,DFW,DEN,560,B789,342.7,-36.9,1,6,8535.0
FL013832,2023-01-01,JFK,LHR,3020,B738,127.2,1.4,1,6,25566.0
FL011833,2023-01-01,JFK,LHR,3020,B738,139.9,4.5,1,6,27965.0
FL013106,2023-01-01,DFW,DEN,560,A321,124.6,-26.4,1,6,4974.0
FL003706,2023-01-01,JFK,MIA,1090,A321,139.6,1.2,1,6,9347.0
FL010735,2023-01-01,JFK,LAX,2145,B738,125.4,22.8,1,6,19636.0
FL013315,2023-01-01,LAX,SFO,300,B789,333.2,24.8,1,6,4872.0
FL014320,2023-01-01,DFW,DEN,560,B789,318.7,3.4,1,6,8816.0
FL005881,2023-01-01,SEA,DEN,890,B738,130.5,13.0,1,6,7579.0
FL006615,2023-01-01,SFO,SEA,680,B738,118.5,12.6,1,6,5497.0
FL009995,2023-01-01,JFK,MIA,1090,B738,132.5,19.6,1,6,9359.0
FL011937,2023-01-01,LAX,SFO,300,A320,121.3,4.5,1,6,2348.0
FL005599,2023-01-01,ORD,DFW,720,A320,118.9,-9.9,1,6,5929.0
FL014186,2023-01-01,JFK,LHR,3020,B789,307.0,-3.1,1,6,47052.0
FL002243,2023-01-01,SEA,DEN,890,B738,139.2,19.8,1,6,8355.0
FL014548,2023-01-01,JFK,LAX,2145,A321,128.3,-30.6,1,6,17026.0
FL013511,2023-01-01,LAX,SFO,300,B737,113.8,43.5,1,6,2935.0
FL014363,2023-01-01,ATL,MIA,595,B737,129.7,25.3,1,6,5185.0
FL007068,2023-01-01,DFW,DEN,560,B737,118.4,43.2,1,6,5429.0
FL009318,2023-01-01,ORD,DFW,720,B738,122.7,-21.9,1,6,5750.0
FL002916,2023-01-01,BOS,ORD,720,B737,126.8,13.9,1,6,5848.0
FL002171,2023-01-01,JFK,LAX,2145,B737,128.5,-2.2,1,6,17925.0
FL003503,2023-01-02,ATL,MIA,595,B738,138.7,19.6,1,0,5602.0
FL011136,2023-01-02,BOS,ORD,720,A320,131.5,7.4,1,0,5915.0
FL000516,2023-01-02,JFK,LAX,2145,B738,137.8,-5.5,1,0,17574.0
FL004869,2023-01-02,ORD,DFW,720,A321,127.4,45.5,1,0,7272.0
FL003062,2023-01-02,BOS,ORD,720,A321,139.4,8.7,1,0,6366.0
FL005041,2023-01-02,SFO,SEA,680,B789,300.4,21.5,1,0,10364.0
FL013901,2023-01-02,JFK,LHR,3020,A320,131.4,41.5,1,0,26908.0
FL006625,2023-01-02,SEA,DEN,890,A321,126.4,24.0,1,0,8581.0
FL009466,2023-01-02,ORD,DFW,720,A321,139.5,4.1,1,0,6851.0
FL004313,2023-01-02,LAX,SFO,300,B737,113.1,-17.5,1,0,2430.0
FL010705,2023-01-02,LAX,SFO,300,B737,131.2,12.5,1,0,2598.0
FL014993,2023-01-02,ORD,DFW,720,A320,113.6,22.3,1,0,6491.0
FL008355,2023-01-02,SFO,SEA,680,B789,305.2,6.8,1,0,10836.0
FL014524,2023-01-02,SFO,SEA,680,B738,131.5,-0.1,1,0,5857.0
FL006799,2023-01-02,DFW,DEN,560,B737,115.3,7.3,1,0,4671.0
FL005606,2023-01-02,SEA,DEN,890,A320,132.5,-10.1,1,0,7296.0
FL011007,2023-01-02,BOS,ORD,720,B789,310.8,20.8,1,0,11401.0
FL014860,2023-01-02,DFW,DEN,560,B738,122.0,-2.0,1,0,4683.0
FL010294,2023-01-02,LAX,SFO,300,A320,121.5,28.1,1,0,2753.0
FL006534,2023-01-02,ATL,MIA,595,A321,133.7,-8.9,1,0,4994.0
FL007598,2023-01-02,BOS,ORD,720,B789,325.4,-8.0,1,0,10720.0
FL000177,2023-01-03,LAX,SFO,300,A321,122.4,40.4,1,1,3056.0
FL003806,2023-01-03,SEA,DEN,890,B789,339.1,22.0,1,1,14493.0
FL013053,2023-01-03,DFW,DEN,560,A320,123.1,-18.6,1,1,4448.0
FL001709,2023-01-03,SEA,DEN,890,A321,138.7,7.6,1,1,8445.0
FL008153,2023-01-03,SFO,SEA,680,B737,123.1,8.0,1,1,5946.0
FL014547,2023-01-03,JFK,LHR,3020,B737,112.6,6.1,1,1,24813.0
FL007115,2023-01-03,BOS,ORD,720,B789,312.8,1.7,1,1,11059.0
FL003521,2023-01-03,DFW,DEN,560,B738,133.9,23.7,1,1,5400.0
FL009983,2023-01-03,SEA,DEN,890,A321,129.3,-2.7,1,1,8032.0
FL000190,2023-01-03,BOS,ORD,720,A320,127.9,2.0,1,1,6396.0
FL012349,2023-01-03,BOS,ORD,720,A321,141.3,-2.2,1,1,6636.0
FL004404,2023-01-03,JFK,LHR,3020,A321,124.3,-6.3,1,1,28051.0
FL000452,2023-01-03,BOS,ORD,720,A321,144.5,19.9,1,1,6749.0
FL004409,2023-01-03,LAX,SFO,300,B738,118.5,32.9,1,1,2867.0
FL002247,2023-01-03,ORD,DFW,720,B789,324.4,-15.1,1,1,11162.0
FL003382,2023-01-03,LAX,SFO,300,B737,116.5,37.8,1,1,2517.0
FL007739,2023-01-03,DFW,DEN,560,B737,114.7,32.7,1,1,4690.0
FL003938,2023-01-03,JFK,LAX,2145,B737,117.0,-2.5,1,1,18220.0
FL011580,2023-01-03,BOS,ORD,720,A321,142.4,39.9,1,1,7334.0
FL011118,2023-01-03,JFK,LHR,3020,B737,126.0,0.1,1,1,22647.0
FL007637,2023-01-04,JFK,LAX,2145,A320,120.1,-3.0,1,2,17250.0
FL006538,2023-01-04,JFK,LHR,3020,B737,126.2,0.7,1,2,24241.0
FL000141,2023-01-04,JFK,LAX,2145,B737,122.8,-3.2,1,2,17850.0
FL007654,2023-01-04,BOS,ORD,720,B789,317.1,13.9,1,2,11012.0
FL007547,2023-01-04,JFK,LHR,3020,B789,303.7,-30.6,1,2,38742.0
FL004682,2023-01-04,JFK,MIA,1090,B789,337.9,2.4,1,2,17954.0
FL011592,2023-01-04,DFW,DEN,560,B789,306.3,23.2,1,2,8779.0
FL013430,2023-01-04,JFK,LAX,2145,B737,127.7,12.7,1,2,17256.0
FL004971,2023-01-04,ATL,MIA,595,A321,125.2,5.5,1,2,5394.0
FL006415,2023-01-04,JFK,LHR,3020,B737,131.6,1.3,1,2,26006.0
FL004147,2023-01-04,LAX,SFO,300,B737,127.2,24.2,1,2,2542.0
FL007445,2023-01-04,JFK,LAX,2145,B738,122.0,33.7,1,2,19971.0
