flight_id,date,origin,dest,distance_nm,aircraft_type,takeoff_weight_klbs,headwind_kt,month,day_of_week,actual_trip_fuel_kg,retrofitted
W2002022,2025-01-01,JFK,MIA,1090,B737,124.4,-13.5,1,2,8423.0,False
W2000538,2025-01-01,SEA,DEN,890,A321,129.9,4.1,1,2,7585.0,False
W2002084,2025-01-01,JFK,LHR,3020,A320,126.5,17.5,1,2,26159.0,False
W2000977,2025-01-01,SEA,DEN,890,A320,127.1,10.6,1,2,6921.0,False
W2000292,2025-01-01,JFK,LAX,2145,B737,114.4,-1.4,1,2,17197.0,False
W2002140,2025-01-01,ORD,DFW,720,B738,126.1,-12.2,1,2,5808.0,False
W2000595,2025-01-01,SEA,DEN,890,B737,128.6,8.2,1,2,7751.0,False
W2002546,2025-01-01,LAX,SFO,300,A321,139.1,-5.5,1,2,2616.0,False
W2000514,2025-01-01,DFW,DEN,560,A321,138.7,-4.5,1,2,4649.0,False
W2002098,2025-01-01,JFK,LAX,2145,A320,125.3,34.6,1,2,19269.0,False
W2000544,2025-01-01,ORD,DFW,720,B738,118.6,-33.2,1,2,5944.0,False
W2000035,2025-01-01,SEA,DEN,890,B738,134.7,55.1,1,2,8485.0,False
W2001653,2025-01-01,BOS,ORD,720,B738,139.1,20.9,1,2,6320.0,False
W2002953,2025-01-01,DFW,DEN,560,B789,343.0,45.8,1,2,8883.0,False
W2000442,2025-01-01,JFK,MIA,1090,B738,127.8,16.6,1,2,10257.0,False
W2000757,2025-01-01,JFK,MIA,1090,B789,310.2,5.0,1,2,17136.0,False
W2002436,2025-01-01,JFK,LHR,3020,A321,135.3,22.8,1,2,27272.0,False
W2002575,2025-01-01,JFK,LHR,3020,A320,113.1,52.4,1,2,28684.0,False
W2002991,2025-01-01,ATL,MIA,595,A321,134.6,16.4,1,2,5672.0,False
W2001572,2025-01-01,DFW,DEN,560,A321,125.6,14.3,1,2,4995.0,False
W2000719,2025-01-01,DFW,DEN,560,B789,306.9,21.9,1,2,8663.0,False
W2001304,2025-01-01,JFK,MIA,1090,B737,115.7,-1.7,1,2,9278.0,False
W2002884,2025-01-01,DFW,DEN,560,B738,124.6,10.4,1,2,4673.0,False
W2000619,2025-01-01,JFK,LAX,2145,B737,122.0,27.4,1,2,19168.0,False
W2000067,2025-01-02,SFO,SEA,680,B737,122.4,41.4,1,3,6214.0,False
W2001520,2025-01-02,JFK,MIA,1090,A321,125.2,5.5,1,3,9815.0,False
W2000914,2025-01-02,SFO,SEA,680,B738,130.7,9.6,1,3,6255.0,False
W2000403,2025-01-02,SEA,DEN,890,B789,342.2,1.0,1,3,13951.0,False
W2001029,2025-01-02,JFK,LAX,2145,B737,115.1,-10.0,1,3,16531.0,False
W2000928,2025-01-02,JFK,LHR,3020,B738,131.4,25.2,1,3,27862.0,False
W2000938,2025-01-02,DFW,DEN,560,A320,128.8,-3.4,1,3,4929.0,False
W2001035,2025-01-02,SFO,SEA,680,B738,118.0,54.6,1,3,6663.0,False
W2000188,2025-01-02,ORD,DFW,720,A321,142.3,24.6,1,3,6480.0,False
W2002949,2025-01-02,SFO,SEA,680,A320,125.1,30.5,1,3,6343.0,False
W2002207,2025-01-02,JFK,LAX,2145,B737,127.2,5.6,1,3,17547.0,False
W2001076,2025-01-02,DFW,DEN,560,B738,118.6,-12.7,1,3,4500.0,False
W2001087,2025-01-02,DFW,DEN,560,A320,119.4,-8.6,1,3,4376.0,False
W2002572,2025-01-02,JFK,LHR,3020,B738,118.9,15.9,1,3,27474.0,False
W2001195,2025-01-02,SFO,SEA,680,B738,134.4,19.7,1,3,6268.0,False
W2002635,2025-01-02,DFW,DEN,560,B738,134.5,11.3,1,3,4898.0,False
W2001244,2025-01-02,BOS,ORD,720,B789,328.3,-7.6,1,3,10231.0,False
W2001288,2025-01-02,SFO,SEA,680,A321,129.1,-6.5,1,3,6372.0,False
W2000221,2025-01-02,BOS,ORD,720,A321,123.1,13.7,1,3,6502.0,False
W2001603,2025-01-02,ATL,MIA,595,B789,325.3,12.1,1,3,9250.0,False
W2002602,2025-01-02,ATL,MIA,595,A320,120.3,8.3,1,3,5093.0,False
W2000022,2025-01-02,LAX,SFO,300,B738,120.0,4.6,1,3,2659.0,False
W2000412,2025-01-02,SEA,DEN,890,A321,129.9,5.3,1,3,7795.0,False
W2000661,2025-01-02,ATL,MIA,595,B789,309.9,15.0,1,3,9420.0,False
W2000657,2025-01-02,LAX,SFO,300,A320,123.3,-3.6,1,3,2465.0,False
W2001692,2025-01-02,JFK,LHR,3020,B789,335.4,37.4,1,3,47182.0,False
W2002828,2025-01-02,SEA,DEN,890,A320,121.9,10.5,1,3,7718.0,False
W2001697,2025-01-02,ORD,DFW,720,B738,126.8,-13.1,1,3,5757.0,False
W2001739,2025-01-02,JFK,MIA,1090,B738,138.3,22.9,1,3,9593.0,False
W2000524,2025-01-02,JFK,LHR,3020,B737,116.4,18.0,1,3,27034.0,False
W2002317,2025-01-02,JFK,MIA,1090,A320,119.9,19.7,1,3,9393.0,False
W2002868,2025-01-02,SFO,SEA,680,A321,131.1,35.9,1,3,6713.0,False
W2000663,2025-01-03,LAX,SFO,300,B738,140.3,68.3,1,4,2871.0,False
W2001059,2025-01-03,JFK,LHR,3020,B737,116.6,39.6,1,4,25802.0,False
W2002693,2025-01-03,LAX,SFO,300,B738,134.3,53.1,1,4,2991.0,False
W2001072,2025-01-03,ATL,MIA,595,B738,119.8,-1.2,1,4,5324.0,False
W2002322,2025-01-03,ATL,MIA,595,A321,131.4,34.9,1,4,5558.0,False
W2002255,2025-01-03,ATL,MIA,595,B738,124.9,19.8,1,4,5417.0,False
W2000092,2025-01-03,JFK,MIA,1090,B738,136.3,22.2,1,4,9785.0,False
